"","cohort1 C1D01 log2fc","cohort1 C1D08 log2fc","cohort1 C1D15 log2fc","cohort1 C1D22 log2fc","cohort1 C2D01 log2fc","cohort1 C2D08 log2fc","cohort1 C2D15 log2fc","cohort1 C3D01 log2fc","cohort1 C4D01 log2fc","cohort1 FUW04 log2fc","cohort1 FUW12 log2fc","cohort1 C1D01 p.value","cohort1 C1D08 p.value","cohort1 C1D15 p.value","cohort1 C1D22 p.value","cohort1 C2D01 p.value","cohort1 C2D08 p.value","cohort1 C2D15 p.value","cohort1 C3D01 p.value","cohort1 C4D01 p.value","cohort1 FUW04 p.value","cohort1 FUW12 p.value","cohort1 C1D01 BH.FDR","cohort1 C1D08 BH.FDR","cohort1 C1D15 BH.FDR","cohort1 C1D22 BH.FDR","cohort1 C2D01 BH.FDR","cohort1 C2D08 BH.FDR","cohort1 C2D15 BH.FDR","cohort1 C3D01 BH.FDR","cohort1 C4D01 BH.FDR","cohort1 FUW04 BH.FDR","cohort1 FUW12 BH.FDR","cohort2 C1D08 log2fc","cohort2 C1D15 log2fc","cohort2 C1D22 log2fc","cohort2 C2D01 log2fc","cohort2 C2D08 log2fc","cohort2 C2D15 log2fc","cohort2 C3D01 log2fc","cohort2 C4D01 log2fc","cohort2 FUW04 log2fc","cohort2 FUW12 log2fc","cohort2 C1D08 p.value","cohort2 C1D15 p.value","cohort2 C1D22 p.value","cohort2 C2D01 p.value","cohort2 C2D08 p.value","cohort2 C2D15 p.value","cohort2 C3D01 p.value","cohort2 C4D01 p.value","cohort2 FUW04 p.value","cohort2 FUW12 p.value","cohort2 C1D08 BH.FDR","cohort2 C1D15 BH.FDR","cohort2 C1D22 BH.FDR","cohort2 C2D01 BH.FDR","cohort2 C2D08 BH.FDR","cohort2 C2D15 BH.FDR","cohort2 C3D01 BH.FDR","cohort2 C4D01 BH.FDR","cohort2 FUW04 BH.FDR","cohort2 FUW12 BH.FDR"
"CD1D",1.63042059503683,2.12623416418807,1.16515911487515,0.43794675009076,0.986319199944737,2.0814080766984,0.939329233904165,-0.729279553612344,-0.450041313487678,-0.242431867522078,-0.551243896837378,8.967932768349e-06,1.32127536191274e-05,6.53901504062559e-05,0.0903504959677118,0.0363487904325803,4.15137150398081e-05,0.0132095480263001,0.0624935826444381,0.0570075878482291,0.371928617809925,0.0831730476157013,0.000298579408640325,0.000167064692847213,0.00284698654845699,0.482883270041671,0.0840412037312677,0.000635047640879226,0.0666043469247658,0.936246853326614,0.661874343575451,0.776795563396374,0.428468552193823,-0.81234453654589,-0.471511869217623,0.284933405569236,-0.165521428223203,-0.52043012674363,0.121963365561545,0.0376645610384079,0.240273439248862,-0.685181111961626,0.0166034056017844,0.0356154360701742,0.0156022797943229,0.108472190679176,0.514933706007672,0.037725377619755,0.543678630894329,0.819473047981055,0.386566918171972,0.145663978959283,0.937838742915123,0.829332058865982,0.373245874658575,0.829665674654241,0.985597039484581,0.842910902636484,0.895764777862619,0.999874676446854,0.999422392379728,0.855921200397625,0.971248832652611
"TFRC",0.0313699173825517,-0.221053766110263,0.523303926656811,0.130543685592419,0.173664630139948,-0.223651791118935,0.696368949143058,-0.0885362164340711,0.12372169603526,-0.131357381601505,-0.0742971971369071,0.836095144023546,0.117711738280901,0.0151261042944119,0.367107295916476,0.212144560009489,0.231485822470972,0.0155484678610498,0.704256094321463,0.540645668841244,0.517903532119706,0.522850691442766,0.866721339775324,0.160929574557947,0.046529212123028,0.682644668983716,0.318896559861915,0.304699943066442,0.0733369400779514,0.971150144921145,0.889489914668454,0.837523997656438,0.808856989372279,-0.174233864622944,0.0667184394520658,0.00848065222823498,0.00835805701865944,-0.1315541959419,-0.0824327068262119,-0.13673495117545,-0.0591471642037399,0.0703434818867007,0.213379850551443,0.201375862501468,0.644028146754368,0.924959667966644,0.955036618412754,0.361535285203679,0.540605189583321,0.289245058450325,0.689305730336512,0.492447399202757,0.167587769690862,0.829332058865982,0.900055186337753,0.976668746343485,0.997247550709708,0.948722476362504,0.895764777862619,0.976462085782201,0.999422392379728,0.925504671078065,0.610436751015662
"FPR2",0.628158146666812,0.542511366309024,1.2816696369994,0.485014057191337,0.224309383034336,0.72938275437815,1.26891708984947,0.641955004046998,0.433034400517217,0.702485065950039,0.351251642849673,0.0182240259705294,0.209215079938863,0.0027558338395567,0.432384364966807,0.365034671936851,0.124348540369723,0.011145083420599,0.174729116866065,0.365448851892245,0.10360626658285,0.376532955428157,0.0442695223146765,0.265506132837211,0.0169543690564032,0.725768107508264,0.476059042203358,0.182334906345241,0.0613889969108633,0.936246853326614,0.81858849729906,0.559439044710147,0.729854975247728,-0.447062440374197,0.565729209378904,0.190697843738655,0.125669513312261,0.435061447874477,0.617119459460273,0.252696420769207,0.507545990968414,0.672855996350112,0.940968210197989,0.463156495679697,0.256560475992759,0.494312256400752,0.816088002505152,0.287637882808938,0.179944616170442,0.667836155768602,0.400836276885019,0.146043913143404,0.197989007871194,0.852903534774806,0.681006310565548,0.899616518079824,0.985597039484581,0.933345290290352,0.773568032233672,0.976462085782201,0.999422392379728,0.855921200397625,0.648584024125592
"CD24",1.23716153883942,1.64059051740757,1.67903414093682,1.16629760908861,0.962396533527141,1.54492524246542,1.5547423927606,-0.291983894101003,-0.101085129910041,0.607236640803719,0.305225434388053,4.94855743122366e-07,0.00127309821577153,0.000189913396123545,0.0281491128543836,0.0456056098712372,0.00137476226596137,0.000766705840905479,0.43523155641843,0.788896276698099,0.0305568523546539,0.518743221191996,7.00220876518147e-05,0.00421388064401572,0.00385308666558138,0.380075593997623,0.0992799045658472,0.00593981253842854,0.0160724261463889,0.959451781224681,0.97024528758119,0.480031639439955,0.808856989372279,0.196114543201584,0.30981808123776,-0.1837975360465,0.193455293280336,0.359443321361286,0.61342570399495,0.0191172330705025,0.0754228122184374,0.206936693859993,0.0445277843863316,0.613153050539456,0.379586061303746,0.604999741785105,0.550531804800898,0.111843250079532,0.0159762136107672,0.92278961773578,0.736945816441432,0.585205655661208,0.866371674629781,0.892145569679517,0.731819951982111,0.923090332345339,0.985597039484581,0.872198138865918,0.663003192584927,0.999874676446854,0.999422392379728,0.942558784489295,0.963391685344707
"TNFRSF14",0.0834751145347718,0.099238800924639,-0.170946316552181,0.181313974916646,0.179898678959507,0.153826505489846,0.412165725812713,0.228784257627648,0.101708922105124,0.203528418484348,0.324290732821529,0.270279846941476,0.518641699207706,0.795903260355504,0.129943670101044,0.0207512549085777,0.22530888936357,0.00669120539352783,0.0840401368504889,0.292862357827656,0.11403044605106,0.110478020010114,0.367736522521335,0.582442860618178,0.848363927233927,0.483027266125135,0.0575745601875245,0.298653000889416,0.0473402781592094,0.936246853326614,0.798335783654638,0.56138943621495,0.44986013903399,-0.152452152068414,0.100667657440144,0.0740373688274512,-0.133570544102796,-0.251306177841847,-0.0478783525991909,-0.142796467805523,0.0278541472500435,0.156733832925023,0.13337090600816,0.397600199601128,0.396105334191211,0.443849263429368,0.255241388647359,0.103786925177359,0.528954354650635,0.207156294840494,0.802304947861826,0.244930384084944,0.153606228876566,0.851663772031153,0.752334292457132,0.855815409175294,0.985597039484581,0.871115186263522,0.893696014126147,0.976462085782201,0.999422392379728,0.86556571027551,0.587440037460382
"DDX43",-0.148165972160937,-0.291900707941992,-0.104721781217384,-0.156116758249324,-0.139265800137294,-0.512339599606636,-0.0070753413612928,-0.206935916132488,-0.245869283175424,0.182396448339322,0.0327145040968853,0.668135141688097,0.3716162044649,0.724172705645637,0.41084264100493,0.746055830235321,0.309890665286152,0.986776953607694,0.480954300712552,0.502856569841047,0.487862655255131,0.945672896998941,0.739491203459275,0.437286427707138,0.788234137298905,0.694227879479403,0.815188416820834,0.382130972880092,0.992035090127806,0.961712447162925,0.875888718302876,0.833116287096921,0.983438978737749,-0.137306167612034,0.35059288709513,-0.456127912669648,-0.278793692741652,0.229941913555723,-0.304106371028288,-0.0278959195746625,-0.304419621232073,-0.225362231936501,-0.195329882867488,0.66894454804093,0.124990291397804,0.125609714395061,0.375775324057979,0.494218279500963,0.226355335447808,0.931194077542417,0.483596621301927,0.388010757768516,0.533213986512273,0.917655151277008,0.540034388787457,0.835609065321038,0.985597039484581,0.964187665358425,0.777885773517823,0.999874676446854,0.999422392379728,0.925504671078065,0.799461769098908
"IL7R",-1.01364613926331,-1.48294838479174,-0.918455123812809,-0.38874221916547,-1.17738897487874,-1.53923465257716,-0.517732260069864,-0.0606467709857949,-0.0302865997282536,-0.119021965186454,-0.153211530900224,2.68133131449148e-05,0.000168805387920803,0.00183867588437224,0.00413135012821403,0.00385387171249795,0.00185805777818919,0.00718037708885567,0.675796271435713,0.82210416198646,0.53226456118824,0.439748473986437,0.000459888946667327,0.0010273532211094,0.0128480314883295,0.230604953050371,0.0222580754007535,0.00705812551983275,0.0480102341026396,0.96683766228736,0.97024528758119,0.846307064711294,0.770375515725523,0.0603825187660973,-0.212867537064191,-0.171898353934096,-0.0728709386209623,0.188312755766201,-0.162165418043909,-0.12465156393697,-0.151004174933275,-0.25143936480786,-0.219951268576296,0.815984556593569,0.364684872619795,0.300739374732036,0.609841489936689,0.189015214225679,0.193639926422982,0.481846844354895,0.187222963646103,0.127577859133397,0.343451518419687,0.961707980451657,0.725344310422442,0.835609065321038,0.985597039484581,0.880215769603307,0.773568032233672,0.976462085782201,0.999422392379728,0.855921200397625,0.745767723213469
"IL1A",1.12210744072112,0.811966235063007,1.45863731116914,0.232730289127856,1.19839053440422,1.06466736061672,1.66293138941123,0.950777905162937,0.167927466036789,0.336896026988165,0.462770939748055,0.0317750753810652,0.146089243261122,0.00558211097633606,0.623951081549028,0.00108980538775658,0.127937147268524,0.015076371471306,0.130738724385489,0.741262693421456,0.420567928403187,0.284791975998571,0.0666099728358626,0.194556498084223,0.0254213108434035,0.870810097362547,0.0110813841244107,0.186629962252538,0.0717077836366317,0.936246853326614,0.968736319081343,0.828834241931346,0.66772720735722,-0.821255963212251,0.465356762476946,-0.319646036345255,0.277785307549517,0.107400547924699,0.103984565572304,-0.696391938897755,-0.685070016478006,-0.167358408696262,0.0748140052691137,0.227929009629893,0.46906168010962,0.655580670188357,0.684274093387571,0.903869076416561,0.886599070348399,0.294269019171647,0.372951554742744,0.744206090465286,0.917209450300764,0.829332058865982,0.797263996822958,0.934245497020417,0.985597039484581,0.980338618042941,0.982413103954417,0.976462085782201,0.999422392379728,0.951009965507351,0.971248832652611
"IKBKE",-0.248439604884157,-0.749837866262168,-0.249029878693526,-0.300656597554531,-0.464964031325995,-0.444951163716462,-0.0117372525125009,0.0504265052560418,-0.227088563974576,-0.182609655149312,-0.144767944769205,0.226226598600101,0.00454811351307769,0.30327162693737,0.176730478480962,0.0305251969918371,0.0715979252783806,0.957148482273706,0.837407056217989,0.340611540270501,0.599543888650987,0.655926060885024,0.318518046785216,0.0107708462276233,0.411634870135615,0.518287309949349,0.0738344508435033,0.115784073450181,0.980667631689373,0.994567917304908,0.81858849729906,0.863459114329628,0.865394290118703,0.0516329053315788,-0.398123927292583,-0.414543526643044,-0.346530028452841,-0.155396887447112,-0.131116035443989,-0.369298941601565,-0.0806128364579388,-0.280279185001828,0.124766402991457,0.781649274425493,0.0391188033637619,0.069382804171855,0.232417162777032,0.3853559322893,0.469605145111832,0.108428135248245,0.691527428065172,0.38627523282513,0.503456889281073,0.949179254211048,0.425793128920947,0.827091246397003,0.985597039484581,0.948722476362504,0.851911897863131,0.97228035876662,0.999422392379728,0.925504671078065,0.791108145691804
"ETS1",-0.685016522428282,-1.05047976329312,-0.582099938809324,-0.176302034332319,-0.981093251751425,-1.1273381336221,-0.323177453517899,-0.00180701782766892,0.0600273866232084,-0.0915831373776989,-0.133395341996471,0.00578795247573559,0.00552379781851492,0.0248140374212648,0.373723603001797,0.0185893868007911,0.017941404161546,0.322322304340415,0.994399672354691,0.722662248735341,0.748934313473217,0.668345452611377,0.0184043882093615,0.012556102671805,0.0656296503758685,0.682879687031327,0.0545160255401437,0.0381760705091543,0.517156011228377,0.999023509729966,0.962185300102453,0.892414360896507,0.86975625303451,0.123605578242327,0.0819114221092135,0.021039674421313,-0.0103588936396884,0.262711092169117,0.0305121305155866,-0.0814576278610965,-0.106406690347354,-0.240549347234954,-0.202849694243189,0.555708731271128,0.687322661846775,0.897180439547661,0.956390211855827,0.105221910593087,0.857955677602777,0.719251662015696,0.517225411129537,0.331580475377112,0.463666815923947,0.873165785723496,0.907722617796247,0.97388979999502,0.997247550709708,0.871115186263522,0.981015986915499,0.976462085782201,0.999422392379728,0.91223034798254,0.776436147375604
