"","log2 fold-change from baseline","p-value","False Discovery Rate"
"CD1D",2.12623416418807,1.32127536191274e-05,0.000167064692847213
"TFRC",-0.221053766110263,0.117711738280901,0.160929574557947
"FPR2",0.542511366309024,0.209215079938863,0.265506132837211
"CD24",1.64059051740757,0.00127309821577153,0.00421388064401572
"TNFRSF14",0.099238800924639,0.518641699207706,0.582442860618178
"DDX43",-0.291900707941992,0.3716162044649,0.437286427707138
"IL7R",-1.48294838479174,0.000168805387920803,0.0010273532211094
"IL1A",0.811966235063007,0.146089243261122,0.194556498084223
"IKBKE",-0.749837866262168,0.00454811351307769,0.0107708462276233
"ETS1",-1.05047976329312,0.00552379781851492,0.012556102671805
"INPP5D",-0.181393624244493,0.375211492808661,0.440601047571996
"CD53",0.732557794605744,0.0149516901991817,0.0285062188841894
"CD9",1.19735219203798,0.000647500687922489,0.00263658553499373
"TICAM2",1.48168877706437,0.00416512130894549,0.0101178483298847
"FCER1A",1.59850665634852,4.65344904071008e-05,0.000439116293537265
"PIN1",0.0577662380093075,0.685133442920775,0.729649199923469
"C4B",-0.797430451833042,0.0111607885725273,0.0223215771450545
"TNFRSF18",0.0449284895747843,0.847164449087549,0.870681411421917
"KIR3DL1",-0.931570136308613,0.0157778164696083,0.0298861936851195
"ITGB1",0.228094719817843,0.0639572987592216,0.0962761465364878
"CTSG",2.03353237888613,9.61369662151916e-07,4.70893976088612e-05
"LTB",-1.45491152476349,1.64031681416219e-05,0.000197536024854425
"SPP1",1.90869597161357,0.0108854005414904,0.0219257534038562
"LGALS3",1.2402646285144,0.000884252072488556,0.00322983553745722
"GZMB",-0.196764866426344,0.380407974070079,0.445778288454793
"CARD11",-0.909978330237789,3.64069523244329e-05,0.000367970268136232
"ATM",-1.29066700839093,0.000307852289269087,0.00147664742140935
"ELK1",0.527817992081718,0.00286350105618383,0.00760911548262932
"RORA",-1.34569520950206,1.00405798716785e-05,0.0001578602279825
"IRAK4",-0.128394104923261,0.542937623885417,0.604926565195169
"CXCL16",1.49843198720062,0.000250569763008026,0.0013406966164136
"SPN",-0.449735653382887,0.0526649954317545,0.0810010527564485
"CXCR4",-0.392795244360271,0.00966069508988588,0.019956034382757
"PRF1",-0.754682817006579,0.002504129856134,0.00699973891704226
"JAK1",-0.480716912551894,6.3926363543273e-05,0.00052438147486221
"DDX58",-0.0557978504066725,0.773693779657555,0.806465339385223
"C1QA",-0.0349608649597146,0.9294865321118,0.936102094617934
"TNFSF10",0.197365202849986,0.438074041531208,0.507055025576
"TLR6",0.899379097559304,0.000692118436928425,0.00273943381329712
"CLEC5A",0.846576522218084,0.158284062554824,0.207381433810256
"S100B",0.238099550737446,0.467241683533671,0.53426018763648
"TLR10",0.29163519633721,0.23555503066438,0.29339252838787
"OAS3",1.14068939418236,0.00213106726196309,0.00612276177802593
"F13A1",-0.524291693017689,0.071884960408789,0.106232082484007
"CD22",-0.421873125644139,0.0188990446871128,0.0345059977190512
"SMPD3",1.56438263073611,0.0014864011129006,0.00460583975061657
"TIRAP",-0.044874213856911,0.844256273946481,0.870399000097829
"CD83",1.29410164826967,6.22722032027242e-06,0.000103664902978653
"STAT5B",-0.679699347911882,0.00149730479525344,0.00460583975061657
"KLRG1",-1.18840397467233,0.000130676384174347,0.00083104307238967
"MAP2K2",0.274875387960022,0.0220263499548902,0.0392041323096473
"CXCR2",-0.978562072660458,7.08335531628676e-05,0.000556830431808098
"ITGA2B",-1.08184745236754,0.00267187656704235,0.00730571080650227
