"","B-cells","CD8 T cells","Cytotoxic cells","DC","Exhausted CD8","Monocytes","NK CD56dim cells","NK cells","T-cells","Th1 cells","Treg"
"107-10-002 C1D01",3.93041171335933,6.08128236053232,6.66746063108169,2.60160335278099,3.65227105059601,6.98818042214009,4.00040242371549,4.3385689469472,6.44231600486578,6.47607247069713,2.3385689469472
"107-10-002 C1D08",3.91838696148843,6.12805092645244,6.96566751435393,2.53190451921706,3.45020035327155,5.50516932883011,3.99097469601324,3.96708687900876,6.60436298365012,5.99133613785436,3.53190451921706
"107-10-002 C1D15",3.87908492841816,5.51599946543305,6.14640967498438,7.06219332563065,3.33496347186088,8.5095659873201,2.83413002501781,3.91717658593267,5.81984878663842,6.10742257962365,3.08950067162639
"107-10-002 C1D22",3.88445412034413,5.13181332696626,7.14838828595884,1.35206742036374,3.63543385509606,6.64837185483095,4.0848988049101,5.0692147293437,6.14911020620592,6.4813504373087,2.61510182619753
"107-10-002 C2D01",4.1206245231789,5.47903494540386,6.7054535792766,1.56271650162043,3.44553831596286,6.23653659976246,3.89339759367765,4.29111957623566,6.11064024126934,6.09876940186064,1.82575090745422
"107-10-002 C2D08",4.44126735619858,5.71389356774469,7.06552260575958,6.78749603021581,3.96199184681741,8.00803423481739,3.6438300665682,4.39517860743705,6.74268598802583,6.72907934399049,3.39517860743705
"107-10-002 C2D15",4.21066503788814,5.97622955441633,6.92661654970496,5.95469991972858,3.70842126881658,7.81366625309213,4.38187081728051,4.39001823707434,6.73322392749799,6.09806409489976,2.88861072927081
"107-10-002 C3D01",4.1706748068555,5.33334496153923,6.85974966698265,3.39567335469112,3.64055849918412,6.95261384011409,3.45473124441777,4.420101437862,6.36688082745818,6.34676375421018,2.4887827590826
"107-10-002 C4D01",4.84319801909649,5.71062965101855,7.03844715344531,1.87176983019804,3.49982666990086,6.57814855502029,3.71621307429999,5.24921358127978,6.1077456323038,5.54419517216954,2.19369792508541
"107-10-002 FUW04",4.21258229583615,5.77835267458926,6.62254388837777,2.55274711867309,3.80288973666401,6.14379352091299,3.57237834835761,3.77144977482674,6.55546237309073,6.17723798358089,1.96778461795194
"107-10-002 FUW12",4.89744836728753,5.82264505731718,6.96360212742737,0.958472199961693,3.13233901320294,6.6276565114996,3.617565507795,5.48475622536377,6.31898232601838,6.06699665673986,1.54343470068285
"107-11-007 C1D-7",3.44593315687339,5.88945951130029,6.46614959803801,1.9315198218824,4.1886829783826,6.61499048593596,4.0846636947615,3.43713344959403,6.4842839932373,6.42337291821208,4.01898266313274
"107-11-007 C1D01",3.69460365412912,4.20520174048664,5.80889692843664,2.99768299084722,3.61653206082018,8.56319515473638,2.60918995871018,4.80194160519724,5.10261567542679,4.63511291146251,0.827757989404906
